"Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Fusobacteria","Cyanobacteria","OD1","TM7","Deinococcus.Thermus","Nitrospira","Planctomycetes","Chloroflexi","BRC1"
"Sample1",0.767843462920221,0.22150589232135,0.00437059890697473,0.00377054497545324,0.00210356273253433,0.000268779878821582,6.85629530260211e-05,4.59540408709442e-05,1.54350620985724e-05,5.14768561892789e-06,1.02929377397941e-06,1.02922925650322e-06,0
"Sample2",0.860034612728895,0.0615323393268162,0.0373785090562191,0.0250675013019613,0.0139796250341777,0.0013438760790642,0.0003313126291953,0.000224823290484529,7.31347986635075e-05,2.44750067624785e-05,4.89484051113467e-06,4.89590724969425e-06,0
"Sample3",0.800123974805147,0.187977219629071,0.00904873077815898,0.00148086162128593,0.000837202510517145,0.000353821036010541,8.91956089815344e-05,5.99923257984326e-05,1.97791857604976e-05,6.5865059521707e-06,1.31788231774933e-06,1.31811099900491e-06,0
"Sample4",0.492536963511254,0.467643195161435,0.0222591101136014,0.00946679915508775,0.00614705947166466,0.00130602636190979,0.000320602997780019,0.000215860287585355,7.11415336005274e-05,2.37406815838468e-05,4.75150294142684e-06,4.74922155583581e-06,0
"Sample5",0.30894335480622,0.669077699261009,0.00844911712335146,0.00752313633743133,0.00466333910137389,0.000903990889418358,0.000219522351519195,0.000147684684862484,4.92121029898041e-05,1.63873440284192e-05,3.27828283549025e-06,3.27771496084251e-06,0
"Sample6",0.541709309400827,0.192118256541411,0.17442461700203,0.0394268929240951,0.0350576065071473,0.0117102116284689,0.00277468625715857,0.0018772660594758,0.000614618616497669,0.000204612785715876,4.09651428028139e-05,4.09571343701672e-05,0
"Sample7",0.648012234207968,0.28211406401797,0.0419743623498849,0.012440021328431,0.013791691534138,0.00110640044828788,0.000279786304980008,0.000187103906991042,6.43461700938805e-05,2.14180469529537e-05,4.28608927346905e-06,4.28559502961568e-06,0
"Sample8",0.203163940243542,0.781438660356704,0.00740751394009383,0.00358735117415093,0.00347926271709941,0.000612906186507372,0.000155189220849976,0.000103591597347392,3.51774773588407e-05,1.17181610447063e-05,2.34462393459724e-06,2.34430136676111e-06,0
"Sample9",0.743589044722695,0.0868113149053544,0.0864817878667218,0.0452905413717958,0.0266221476560408,0.00752458641741785,0.00184730924482718,0.00122615963764383,0.000413940210953357,0.000137943482118696,2.76118203812316e-05,2.76126640503362e-05,0
"Sample10",0.667816006604999,0.30018426253758,0.0178948431257708,0.00770202207354908,0.00582958821432073,0.000388487069246809,9.23125877117179e-05,6.18896063260915e-05,2.08580590014443e-05,6.95177600986975e-06,1.38935275600087e-06,1.38899272884381e-06,0
"Sample11",0.82940324431578,0.0587295501477677,0.0439952839233547,0.0308547261061205,0.0328877248455637,0.00278593137067029,0.000672961228547092,0.000445191352546452,0.000153628446909199,5.12747612518433e-05,1.02424107722118e-05,1.02410907166686e-05,0
"Sample12",0.532108543728839,0.322941376448043,0.0520851698174582,0.0526340095716868,0.0317057903313073,0.00566014950325919,0.0014379249106567,0.000954705174244077,0.000322202036306043,0.000107209690825291,2.14607409551096e-05,2.14580464192153e-05,0
"Sample13",0.873532318395168,0.113297059702701,0.00702631416119084,0.0026542545822881,0.00291038457470289,0.000383898302769014,9.77998463157907e-05,6.59468130299386e-05,2.18340124817052e-05,7.27984401264453e-06,1.45476160648429e-06,1.45500373403386e-06,0
"Sample14",0.807281511199971,0.191955791000405,0.000532217691021596,0.000123115557811076,8.3679070543453e-05,1.58178131438419e-05,3.9235305957206e-06,2.64553980115483e-06,8.85780306439745e-07,2.94931162638548e-07,5.8950524405399e-08,5.893471363125e-08,0
"Sample15",0.292159791072649,0.448215912269679,0.12607010920985,0.0630439155007258,0.0534516436553304,0.0114960097540726,0.00278858723444186,0.00184739855278966,0.000631677330143198,0.000210676146328907,4.21402255732652e-05,4.21390484160542e-05,0
"Sample16",0.578277552674112,0.364407555375045,0.0287570836027985,0.0131584090773343,0.0129821818210879,0.00160106436139733,0.000408046697356516,0.00027689328269847,8.94679140484126e-05,2.98154458530224e-05,5.96628961088331e-06,5.96345865731644e-06,0
"Sample17",0.518391056004063,0.344121710805366,0.0337823452474947,0.0594560355914455,0.0396346600927286,0.00310252594494349,0.000757599124464042,0.000508683774042776,0.000167343660696749,5.57407327474961e-05,1.11513678833822e-05,1.11476541244848e-05,0
"Sample18",0.303373467975783,0.275136796892072,0.0860724960560151,0.168891721882601,0.143498373458327,0.0154706541670158,0.00377424599433502,0.00253083881801276,0.000853125284422009,0.000284507369696343,5.68782180512097e-05,5.68938836688805e-05,0
"Sample19",0.0525924861928424,0.667142062273341,0.0843690670470457,0.0984067480629221,0.0743885944770262,0.0154971487140032,0.00379404426678774,0.00256699803136433,0.000847684787847255,0.000282349459425536,5.64001735205371e-05,5.64165138737421e-05,0
"Sample20",0.441082546116788,0.32838166332097,0.124580620616166,0.0437611774807314,0.0483682177405911,0.0092852124558149,0.00227672381611321,0.00151578339814168,0.000510358631257703,0.000169770119478361,3.39550357941081e-05,3.39712681529582e-05,0
"Sample21",0.769386502735286,0.133342553657844,0.0332329805074652,0.0361317050545607,0.0192896259886498,0.00572907718977552,0.00144398377501365,0.000965806583910616,0.000325639355743118,0.000108623956858237,2.17540451191165e-05,2.1747149774178e-05,0
"Sample22",0.437213520456837,0.332684615068405,0.0879824056654139,0.0753225016414586,0.0557352542615789,0.00732065481520122,0.00186791899900604,0.00125892879722221,0.000419059529730474,0.000139338415985623,2.78999931762537e-05,2.79023559846752e-05,0
"Sample23",0.191187311387808,0.160349061947106,0.421331192433076,0.0826365633036024,0.119095857588728,0.0169617460514319,0.00421104891857503,0.00281843947442261,0.000960178173575009,0.000320469019129797,6.40631365951979e-05,6.40685659495874e-05,0
"Sample24",0.193127767480672,0.448053089436983,0.092365166166764,0.128213905614202,0.10747867048972,0.0204303920154107,0.00516971245882814,0.00347344078615332,0.0011507959418735,0.000383565836403393,7.67412862493211e-05,7.6752486740074e-05,0
"Sample25",0.865763506466901,0.131248835353494,0.00173970318349643,0.000624931815532235,0.000536314172597403,5.80253251592651e-05,1.43550317842775e-05,9.57382958743631e-06,3.24240219478068e-06,1.08045218744702e-06,2.16004000558151e-07,2.15963064473961e-07,0
"Sample26",0.241345725219003,0.563329602844232,0.125122609252139,0.0352395266208824,0.0286010690612571,0.00424861140346664,0.00105728070226725,0.000711218395136687,0.000234866397596959,7.82099607984859e-05,1.5640555954623e-05,1.56395872649373e-05,0
"Sample27",0.403800155691694,0.504039288128117,0.0242483905800042,0.0413379715296511,0.0204731555937395,0.00408952168896427,0.00100520996843131,0.000673076309593286,0.000227226391539329,7.57144650929152e-05,1.51441004489354e-05,1.514555272455e-05,0
"Sample28",0.349831434042458,0.506321231590312,0.105616566503837,0.0223483748453716,0.0131067105123244,0.00185791899790109,0.000457874261858691,0.000307225411884781,0.000104094530800427,3.47022608665037e-05,6.93276813162227e-06,6.93427425322385e-06,0
"Sample29",0.19375645457714,0.785261744023756,0.00719181690900289,0.00705560796295777,0.00527744749876892,0.000994321470705788,0.000231070280559366,0.000156527934102965,5.11485269105281e-05,1.70443345218786e-05,3.40778083432883e-06,3.40870073956436e-06,0
"Sample30",0.929517462034741,0.0581225180839557,0.00790980290694193,0.00264974612718842,0.00157785569938326,0.000148474320009537,3.70282038813659e-05,2.48808342606937e-05,8.33674853507196e-06,2.78194830545755e-06,5.56532861814083e-07,5.56559935734586e-07,0
"Sample31",0.309744356524689,0.049982835400022,0.347463030742576,0.129239739157943,0.134136555795189,0.0195575839545163,0.00493315332862545,0.00331031345914095,0.00111341823856872,0.000370674323393813,7.41687560280933e-05,7.41703193078102e-05,0
"Sample32",0.58429734467672,0.408977316599128,0.00307835182288076,0.00195337618945512,0.00138836926459936,0.000203882145936758,5.08600709026136e-05,3.41206040486163e-05,1.11716484134536e-05,3.71914663225801e-06,7.43826029385079e-07,7.44005253338644e-07,0
"Sample33",0.714249713719912,0.256712301921764,0.016165648116069,0.00691303709186101,0.0056238016373331,0.000226091062482672,5.46787659442571e-05,3.66380520898558e-05,1.23285473455768e-05,4.11529811044792e-06,8.22871004870879e-07,8.22916083009889e-07,0
